fiscal_year,total_doe_rnd,re_rnd,President,President Party,House Majority,Senate Majority,Party Government,Congress #,divided_vs_unified,president_party
1978,9859.268322,2172.350716,Carter,Democrat,Democrat,Democrat,Unified,95th (1977-1979),3,1
1979,9660.624854,2539.769532,Carter,Democrat,Democrat,Democrat,Unified,95th (1977-1979),3,1
1980,9317.875152,2486.0,Carter,Democrat,Democrat,Democrat,Unified,96th (1979-1981),3,1
1981,8587.049512,2209.939967,Carter,Democrat,Democrat,Democrat,Unified,96th (1979-1981),3,1
1982,5505.536021,1001.983562,Reagan,Republican,Democrat,Republican,Divided,97th (1981-1983),1,0
1983,4152.442447,723.571308,Reagan,Republican,Democrat,Republican,Divided,97th (1981-1983),1,0
1984,3853.490373,581.3695267,Reagan,Republican,Democrat,Republican,Divided,98th (1983–1985),1,0
1985,3370.341202,560.9191911,Reagan,Republican,Democrat,Republican,Divided,98th (1983–1985),1,0
1986,2972.373077,448.5303884,Reagan,Republican,Democrat,Republican,Divided,99th (1985–1987),1,0
1987,2538.034915,377.7270052,Reagan,Republican,Democrat,Republican,Divided,99th (1985–1987),1,0
1988,2799.188666,304.6620255,Reagan,Republican,Democrat,Democrat,Divided,100th (1987–1989),2,0
1989,2820.018604,309.2488821,Reagan,Republican,Democrat,Democrat,Divided,100th (1987–1989),2,0
1990,3595.114557,261.6852093,HW Bush,Republican,Democrat,Democrat,Divided,101st (1989–1991),2,0
1991,3343.887089,364.0638974,HW Bush,Republican,Democrat,Democrat,Divided,101st (1989–1991),2,0
1992,3364.934128,416.9509786,HW Bush,Republican,Democrat,Democrat,Divided,102nd (1991–1993),2,0
1993,2577.578169,426.6204377,HW Bush,Republican,Democrat,Democrat,Divided,102nd (1991–1993),2,0
1994,2884.835746,505.9766313,Clinton,Democrat,Democrat,Democrat,Unified,103rd (1993–1995),3,1
1995,2695.545215,573.8903626,Clinton,Democrat,Democrat,Democrat,Unified,103rd (1993–1995),3,1
1996,2210.20412,397.0026589,Clinton,Democrat,Republican,Republican,Divided,104th (1995–1997),1,1
1997,1951.682469,352.1573875,Clinton,Democrat,Republican,Republican,Divided,104th (1995–1997),1,1
1998,1847.059078,445.2700337,Clinton,Democrat,Republican,Republican,Divided,105th (1997–1999),1,1
1999,2159.435677,533.8991856,Clinton,Democrat,Republican,Republican,Divided,105th (1997–1999),1,1
2000,1998.886937,416.6985372,Clinton,Democrat,Republican,Republican,Divided,106th (1999–2001),1,1
2001,2536.305886,493.1300343,Clinton,Democrat,Republican,Republican,Divided,106th (1999–2001),1,1
2002,2694.459601,501.3073038,W Bush,Republican,Republican,Democrat,Divided,107th (2001–2003),1,0
2003,2640.159094,393.5323504,W Bush,Republican,Republican,Republican,Unified,107th (2001–2003),0,0
2004,2627.257274,353.6028068,W Bush,Republican,Republican ,Republican,Unified,108th (2003–2005),0,0
2005,2455.951156,383.6456339,W Bush,Republican,Republican ,Republican,Unified,108th (2003–2005),0,0
2006,2679.324655,340.6910675,W Bush,Republican,Republican ,Republican,Unified,109th (2005–2007),0,0
2007,3080.990281,675.8384392,W Bush,Republican,Republican ,Republican,Unified,109th (2005–2007),0,0
2008,3531.366224,812.5939367,W Bush,Republican,Democrat,Democrat,Divided,110th (2007–2009),2,0
2009,4291.896501,990.9714869,W Bush,Republican,Democrat,Democrat,Divided,110th (2007–2009),2,0
2009 ARPA,8284.653182,1910.303314,W Bush,Republican,Democrat,Democrat,Divided,110th (2007–2009),2,0
2010,4300.816723,1129.980947,Obama,Democrat,Democrat,Democrat,Unified,111th (2009–2011),3,1
2011,3546.905141,849.2328484,Obama,Democrat,Democrat,Democrat,Unified,111th (2009–2011),3,1
2012,3687.179454,893.9092823,Obama,Democrat,Republican ,Democrat,Divided,112th (2011–2013),2,1
2013,3566.787256,833.2923453,Obama,Democrat,Republican,Democrat,Divided,112th (2011–2013),2,1
2014,4017.40603,900.7641945,Obama,Democrat,Republican,Democrat,Divided,113th (2013–2015),2,1
2015,3756.649013,834.0301876,Obama,Democrat,Republican,Democrat,Divided,113th (2013–2015),2,1
2016,4229.801466,912.9461753,Obama,Democrat,Republican ,Republican,Divided,114th (2015–2017),1,1
2017,4054.055572,873.3032903,Obama,Democrat,Republican,Republican,Divided,114th (2015–2017),1,1
2018,4503.456102,944.5858504,Trump ,Republican,Republican,Republican,Unified,115th (2017–2019),0,0
2019,4686.042802,945.4396577,Trump ,Republican,Republican,Republican,Unified,115th (2017–2019),0,0
2020,5279.23986,1093.029241,Trump ,Republican,Democrat,Republican,Divided,116th (2019–2021),1,0
2021,5473.726603,1076.42972,Trump ,Republican,Democrat,Republican,Divided,116th (2019–2021),1,0
2022,5202.185658,1022.462496,Biden,Democrat,Democrat,Democrat,Unified,117th (2021-2023),3,1
2023,7259.637909,1798.569176,Biden,Democrat,Democrat,Democrat,Unified,117th (2021-2023),3,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,A given fiscal year is October–October,,,,,,
,,,,Congress signs budget by September 30 (last day of the current fiscal year) for the start of the next fiscal year,,,,,,
,,,,,,,,,,
,,116th Congress,,,,,,,,
,Election in Nov 2018,2019–2021,includes ,2019,started Jan 2019,,would sign FY2020,,,
,Election in 2020,,,2020,,,,,,
,Election in 2022,,,2021,ended Jan 2021,,,,,